Mystery;Winter Sports;Reality;Card Games;Gay and Lesbian;Book characters;Halloween;;Debate;Adults only;Latin Music;tweens (ages 10-12);;;;;Transformation
Historical drama;Boxing;;Gaming;Documentary;Superheroes;Collectible;;Parenting;Erotic;Dance;older teens (ages 15+);;;;;Fall
Science fiction;Motor Sports;;Arts and dance;;Magic and fantasy;Parenting;;Wall Street;Classic Movies;Concert;Friendship;;;;;Rise
Crime drama;Pro Wrestling;;Gay and Lesbian;;Fairy tales;Cars and trucks;;Agriculture;Theater;Soft Rock;Sports and martial arts;;;;;New Year's
Comedy drama;Water Sports;;Entertainment;;Princesses and fairies;Growing up;;Rivalry;Misfits and underdogs;Techno Music;Cats, dogs, and mice;;;;;Paid Program
Romantic comedy;Olympics;;Art;;Brothers and sisters;Holiday;;Wretched excess;Space and aliens;Classical Music;Book characters;;;;;July 4th
Musical comedy;Volleyball;;Game Show;;Puppets;Holidays;;News;Dinosaurs;Music and sing-along;Superheroes;;;;;Foreign
Soap Opera;Action Sports;;Netflix Original;;Metamorphosis;Gay and Lesbian;;;Rivalry;Alternative Music;High school;;;;;Easter
Advice;Snowboarding;;;;Holidays;Family;;;Underdog;Concert;Great boy role models;;;;;
Dark comedy;Hockey;;;;Kids;;;;Temptation;Revenge;Magic and fantasy;;;;;
Art expert;Classic Sport Event;;;;;;;;Gay and Lesbian;Forbidden love;Monsters, ghosts, and vampires;;;;;
Theater;Skiing;;;;;;;;Movie;Music;Fairy tales;;;;;
not for kids;Figure Skating;;;;;;;;;Soul Music;Princesses and fairies;;;;;
Adventures;Cycling;;;;;;;;;Reggae Music;Brothers and sisters;;;;;
Adventure;Bull riding;;;;;;;;;;Puppets;;;;;
Escape;Motor Sports;;;;;;;;;;Middle school;;;;;
Love;Cross-Country Skiing;;;;;;;;;;Great girl role models;;;;;
Rescue;Hunting;;;;;;;;;;Teen;;;;;
Pursuit;Alpine Skiing;;;;;;;;;;;;;;;
Revenge;Beach Volleyball;;;;;;;;;;;;;;;
Growing up;Beach soccer;;;;;;;;;;;;;;;
Sacrifice;Baseball;;;;;;;;;;;;;;;
Temptation;Wrestling;;;;;;;;;;;;;;;
Gay and Lesbian;Auto Racing;;;;;;;;;;;;;;;
Drama;Ski Jumping;;;;;;;;;;;;;;;
Suspense;Gymnastics;;;;;;;;;;;;;;;
;Dog Show;;;;;;;;;;;;;;;
;Pro Wrestling;;;;;;;;;;;;;;;
;Event;;;;;;;;;;;;;;;
;Mixed Martial Arts;;;;;;;;;;;;;;;
;Luge;;;;;;;;;;;;;;;
;Boating;;;;;;;;;;;;;;;
;eSports;;;;;;;;;;;;;;;
;Motorcycle;;;;;;;;;;;;;;;
;Water Sports;;;;;;;;;;;;;;;
;Horse;;;;;;;;;;;;;;;
;Olympics;;;;;;;;;;;;;;;
;Winter Olympics;;;;;;;;;;;;;;;
;Shooting;;;;;;;;;;;;;;;
;Archery;;;;;;;;;;;;;;;
;Basketball;;;;;;;;;;;;;;;
;Sports and martial arts;;;;;;;;;;;;;;;
;Sports;;;;;;;;;;;;;;;
;Martial arts;;;;;;;;;;;;;;;
;Equestrian;;;;;;;;;;;;;;;
;Swimming;;;;;;;;;;;;;;;
;Lacrosse;;;;;;;;;;;;;;;
;Fencing;;;;;;;;;;;;;;;
;Rugby;;;;;;;;;;;;;;;
;Skateboarding;;;;;;;;;;;;;;;
;2018 World Cup;;;;;;;;;;;;;;;
;Softball;;;;;;;;;;;;;;;
;Cheerleading;;;;;;;;;;;;;;;
;Motorcycle Racing;;;;;;;;;;;;;;;
;Running;;;;;;;;;;;;;;;
;PyeongChang 2018;;;;;;;;;;;;;;;
;Playoffs;;;;;;;;;;;;;;;
;Roller derby;;;;;;;;;;;;;;;
;Track & Field;;;;;;;;;;;;;;;
;Rugby union;;;;;;;;;;;;;;;
;Bowling;;;;;;;;;;;;;;;
;Drag Racing;;;;;;;;;;;;;;;
